Province,City,Latitude,Longitude
Abra,Bangued,17.6,120.617
Abra,Boliney,17.4,120.8
Abra,Bucay,17.533,120.717
Abra,Bucloc,17.45,120.85
Abra,Daguioman,17.45,120.917
Abra,Danglas,17.7,120.65
Abra,Dolores,17.64667,120.71083
Abra,La Paz,17.70556,120.69306
Abra,Lacub,17.667,120.95
Abra,Lagangilang,17.617,120.783
Abra,Lagayan,17.717,120.7
Abra,Langiden,17.583,120.567
Abra,Licuan-Baay,17.62694,120.83222
Abra,Luba,17.34917,120.69111
Abra,Malibcong,17.567,120.983
Abra,Manabo,17.467,120.7
Abra,Peñarrubia,17.567,120.65
Abra,Pidigan,17.567,120.583
Abra,Pilar,17.4175,120.59417
Abra,Sallapadan,17.467,120.767
Abra,San Isidro,17.467,120.6
Abra,San Juan,17.717,120.75
Abra,San Quintin,17.54306,120.51917
Abra,Tayum,17.617,120.65
Abra,Tineg,17.767,120.933
Abra,Tubo,17.167,120.717
Abra,Villaviciosa,17.433,120.633
Agusan del Norte,Butuan City,8.95,125.53
Agusan del Norte,Buenavista,8.967,125.417
Agusan del Norte,Cabadbaran,9.117,125.533
Agusan del Norte,Carmen,8.983,125.3
Agusan del Norte,Jabonga,9.35,125.517
Agusan del Norte,Kitcharao,9.45,125.567
Agusan del Norte,Las Nieves,8.733,125.6
Agusan del Norte,Magallanes,9.017,125.517
Agusan del Norte,Nasipit,,
Agusan del Norte,Remedios T. Romualdez,9.05361,125.58667
Agusan del Norte,Santiago,9.267,125.567
Agusan del Norte,Tubay,9.167,125.533
Agusan del Sur,Bayugan,8.717,125.75
Agusan del Sur,Bunawan,8.167,126.0
Agusan del Sur,Esperanza,8.683,125.65
Agusan del Sur,La Paz,8.267,125.8
Agusan del Sur,Loreto,8.183,125.85
Agusan del Sur,Prosperidad,8.6,125.917
Agusan del Sur,Rosario,8.383,126.0
Agusan del Sur,San Francisco,8.5,125.983
Agusan del Sur,San Luis,8.47806,125.74389
Agusan del Sur,Santa Josefa,7.983,126.033
Agusan del Sur,Sibagat,8.817,125.7
Agusan del Sur,Talacogon,8.45,125.783
Agusan del Sur,Trento,8.05,126.067
Agusan del Sur,Veruela,8.033,125.9
Aklan,Altavas,11.533,122.483
Aklan,Balete,11.55,122.383
Aklan,Banga,11.633,122.333
Aklan,Batan,11.583,122.5
Aklan,Buruanga,11.85,121.9
Aklan,Ibajay,11.817,122.167
Aklan,Kalibo,11.7,122.367
Aklan,Lezo,11.667,122.333
Aklan,Libacao,11.483,122.3
Aklan,Madalag,11.517,122.3
Aklan,Makato,11.7,122.283
Aklan,Malay,11.9,121.9083
Aklan,Malinao,11.65,122.3
Aklan,Nabas,11.833,122.083
Aklan,New Washington,11.65,122.433
Aklan,Numancia,11.7,122.333
Aklan,Tangalan,11.767,122.25
Albay,Legazpi City,13.13,123.73
Albay,Ligao City,13.217,123.517
Albay,Tabaco City,13.35944,123.73028
Albay,Bacacay,13.3,123.8
Albay,Camalig,13.133,123.667
Albay,Daraga,13.16194,123.69389
Albay,Guinobatan,13.183,123.6
Albay,Jovellar,13.067,123.6
Albay,Libon,13.3,123.433
Albay,Malilipot,13.317,123.733
Albay,Malinao,13.4,123.7
Albay,Manito,13.117,123.867
Albay,Oas,13.25889,123.49528
Albay,Pio Duran,13.033,123.45
Albay,Polangui,13.29222,123.48556
Albay,Rapu-Rapu,13.183,124.133
Albay,Santo Domingo,13.235,123.77694
Albay,Tiwi,13.45,123.683
Antique,Anini-y,10.433,121.933
Antique,Barbaza,11.2,122.05
Antique,Belison,10.717,122.267
Antique,Bugasong,11.05,122.067
Antique,Caluya,11.9,121.517
Antique,Culasi,11.417,122.067
Antique,Hamtic,10.7,121.983
Antique,Laua-an,11.15,122.05
Antique,Libertad,11.783,121.917
Antique,Pandan,11.717,122.1
Antique,Patnongon,10.917,121.983
Antique,San Jose,10.75,121.95
Antique,San Remigio,10.88,122.12
Antique,Sebaste,11.583,122.1
Antique,Sibalom,10.783,122.017
Antique,Tibiao,11.283,122.05
Antique,Tobias Fornier,10.517,121.95
Antique,Valderrama,11.0,122.133
Apayao,Calanasan,18.25,121.033
Apayao,Conner,17.8,121.333
Apayao,Flora,18.117,121.4
Apayao,Kabugao,18.017,121.183
Apayao,Luna,18.32583,121.35361
Apayao,Pudtol,18.15,121.283
Apayao,Santa Marcela,18.283,121.433
Aurora,Baler,15.767,121.567
Aurora,Casiguran,16.28333,122.04444
Aurora,Dilasag,16.4,122.217
Aurora,Dinalungan,16.1,121.77389
Aurora,Dingalan,15.383,121.4
Aurora,Dipaculao,15.983,121.633
Aurora,Maria Aurora,15.783,121.467
Aurora,San Luis,15.717,121.517
Basilan,Isabela City,6.7,121.97
Basilan,Akbar,6.65,122.217
Basilan,Al-Barka,6.467,122.183
Basilan,Hadji Mohammad Ajul,6.617,122.3
Basilan,Hadji Muhtamad,6.633,121.617
Basilan,Lamitan,6.65,122.133
Basilan,Lantawan,6.65,121.867
Basilan,Maluso,6.55,121.883
Basilan,Sumisip,6.417,121.983
Basilan,Tabuan-Lasa,6.35,121.967
Basilan,Tipo-Tipo,6.533,122.167
Basilan,Tuburan,6.6,122.2
Basilan,Ungkaya Pukan,6.5,122.117
Bataan,Balanga City,,
Bataan,Abucay,14.733,120.533
Bataan,Bagac,14.6,120.4
Bataan,Dinalupihan,14.883,120.467
Bataan,Hermosa,14.833,120.5
Bataan,Limay,14.567,120.6
Bataan,Mariveles,14.433,120.483
Bataan,Morong,14.683,120.267
Bataan,Orani,14.8,120.533
Bataan,Orion,14.617,120.583
Bataan,Pilar,14.667,120.567
Bataan,Samal,14.767,120.55
Batanes,Basco,20.4496778,121.9698694
Batanes,Itbayat,20.767,121.85
Batanes,Ivana,20.367,121.917
Batanes,Mahatao,20.417,121.95
Batanes,Sabtang,20.333,121.867
Batanes,Uyugan,20.35,121.933
Batangas,Batangas City,13.75,121.05
Batangas,Lipa City,13.9411,121.1622
Batangas,Tanauan City,14.083,121.15
Batangas,Agoncillo,13.933,120.933
Batangas,Alitagtag,13.867,121.0
Batangas,Balayan,13.933,120.733
Batangas,Balete,14.02722,121.09806
Batangas,Bauan,13.80194,121.01306
Batangas,Calaca,13.967,120.8
Batangas,Calatagan,13.833,120.633
Batangas,Cuenca,13.91667,121.04472
Batangas,Ibaan,13.817,121.133
Batangas,Laurel,14.05,120.9
Batangas,Lemery,13.92,120.88
Batangas,Lian,14.033,120.65
Batangas,Lobo,13.65,121.25
Batangas,Mabini,13.717,120.9
Batangas,Malvar,14.04056,121.15444
Batangas,Mataas na Kahoy,13.967,121.083
Batangas,Nasugbu,14.067,120.633
Batangas,Padre Garcia,13.883,121.217
Batangas,Rosario,13.85,121.2
Batangas,San Jose,13.87722,121.105
Batangas,San Juan,13.833,121.4
Batangas,San Luis,13.833,120.933
Batangas,San Nicolas,13.917,120.95
Batangas,San Pascual,13.8075,121.04194
Batangas,Santa Teresita,13.883,120.967
Batangas,Santo Tomas,14.10917,121.14194
Batangas,Taal,13.89417,120.92917
Batangas,Talisay,14.1,121.017
Batangas,Taysan,13.74194,121.22306
Batangas,Tingloy,13.65,120.867
Batangas,Tuy,14.017,120.733
Benguet,Baguio City,16.42,120.6
Benguet,Atok,16.58333,120.7
Benguet,Bakun,16.7922,120.6653
Benguet,Bokod,16.5,120.833
Benguet,Buguias,16.72306,120.82806
Benguet,Itogon,16.367,120.683
Benguet,Kabayan,16.617,120.85
Benguet,Kapangan,16.583,120.6
Benguet,Kibungan,16.7,120.667
Benguet,La Trinidad,16.45,120.567
Benguet,Mankayan,16.867,120.783
Benguet,Sablan,16.517,120.517
Benguet,Tuba,16.317,120.55
Benguet,Tublay,16.517,120.617
Biliran,Almeria,11.617,124.383
Biliran,Biliran,11.467,124.483
Biliran,Cabucgayan,11.483,124.567
Biliran,Caibiran,11.567,124.583
Biliran,Culaba,11.65,124.533
Biliran,Kawayan,11.683,124.367
Biliran,Maripipi,11.783,124.333
Biliran,Naval,11.583,124.45
Bohol,Tagbilaran City,9.65,123.85
Bohol,Alburquerque,9.6,123.95
Bohol,Alicia,9.9,124.45
Bohol,Anda,9.75,124.57
Bohol,Antequera,9.78,123.9
Bohol,Baclayon,9.63,123.9
Bohol,Balilihan,9.75,123.97
Bohol,Batuan,9.8,124.13
Bohol,Bien Unido,10.13,124.38
Bohol,Bilar,9.7,124.1
Bohol,Buenavista,10.08,124.12
Bohol,Calape,9.88,123.88
Bohol,Candijay,9.82,124.5
Bohol,Carmen,9.82,124.2
Bohol,Catigbian,9.83,124.03
Bohol,Clarin,9.97,124.02
Bohol,Corella,9.68,123.92
Bohol,Cortes,9.72,123.88
Bohol,Dagohoy,9.92,124.28
Bohol,Danao,10.02,124.27
Bohol,Dauis,9.62,123.85
Bohol,Dimiao,9.62,124.17
Bohol,Duero,9.72,124.4
Bohol,Garcia Hernandez,9.62,124.3
Bohol,Getafe,10.15,124.15
Bohol,Guindulman,9.77,124.48
Bohol,Inabanga,10.03,124.07
Bohol,Jagna,9.65,124.37
Bohol,Lila,9.6,124.1
Bohol,Loay,9.6,124.02
Bohol,Loboc,9.63,124.03
Bohol,Loon,9.8,123.8
Bohol,Mabini,9.87,124.52
Bohol,Maribojoc,9.75,123.83
Bohol,Panglao,9.58,123.75
Bohol,Pilar,9.83,124.33
Bohol,President Carlos P. Garcia,10.12,124.55
Bohol,Sagbayan,9.92,124.1
Bohol,San Isidro,9.8,124.3
Bohol,San Miguel,10.0,124.32
Bohol,Sevilla,9.7,124.05
Bohol,Sierra Bullones,9.82,124.28
Bohol,Sikatuna,9.68,123.97
Bohol,Talibon,10.12,124.28
Bohol,Trinidad,10.05,124.35
Bohol,Tubigon,9.95,123.97
Bohol,Ubay,10.05,124.47
Bohol,Valencia,9.62,124.2
Bukidnon,Malaybalay City,8.15,125.133
Bukidnon,Valencia City,7.9,125.083
Bukidnon,Baungon,8.25,124.717
Bukidnon,Cabanglasan,8.067,125.317
Bukidnon,Damulog,7.483,124.933
Bukidnon,Dangcagan,7.617,125.0
Bukidnon,Don Carlos,7.683,125.0
Bukidnon,Impasug-ong,8.3,125.0
Bukidnon,Kadingilan,7.6,124.917
Bukidnon,Kalilangan,7.75,124.75
Bukidnon,Kibawe,7.567,124.983
Bukidnon,Kitaotao,7.633,125.017
Bukidnon,Lantapan,8.05,124.983
Bukidnon,Libona,8.333,124.733
Bukidnon,Malitbog,8.533,124.883
Bukidnon,Manolo Fortich,8.367,124.867
Bukidnon,Maramag,7.767,125.0
Bukidnon,Pangantucan,7.833,124.833
Bukidnon,Quezon,7.733,125.1
Bukidnon,San Fernando,7.917,125.333
Bukidnon,Sumilao,8.283,124.95
Bukidnon,Talakag,8.233,124.6
Bulacan,Malolos City,14.84333,120.81139
Bulacan,Meycauayan City,14.733,120.95
Bulacan,San Jose del Monte City,14.81389,121.04528
Bulacan,Angat,14.933,121.033
Bulacan,Balagtas,14.817,120.867
Bulacan,Baliuag,14.95,120.883
Bulacan,Bocaue,14.8,120.933
Bulacan,Bulacan,14.79306,120.87889
Bulacan,Bustos,14.95,120.917
Bulacan,Calumpit,14.917,120.767
Bulacan,Doña Remedios Trinidad,15.0,121.083
Bulacan,Guiguinto,14.833,120.883
Bulacan,Hagonoy,14.833,120.733
Bulacan,Marilao,14.75806,120.94806
Bulacan,Norzagaray,14.917,121.05
Bulacan,Obando,14.7,120.917
Bulacan,Pandi,14.867,120.95
Bulacan,Paombong,14.83111,120.78917
Bulacan,Plaridel,14.883,120.85
Bulacan,Pulilan,14.9,120.85
Bulacan,San Ildefonso,15.07889,120.94194
Bulacan,San Miguel,15.14583,120.97833
Bulacan,San Rafael,14.95,120.967
Bulacan,Santa Maria,14.817,120.95
Cagayan,Tuguegarao City,17.617,121.717
Cagayan,Abulug,18.45,121.45
Cagayan,Alcala,17.9,121.65
Cagayan,Allacapan,18.25,121.583
Cagayan,Amulung,17.833,121.733
Cagayan,Aparri,18.333,121.667
Cagayan,Baggao,17.917,121.967
Cagayan,Ballesteros,18.4,121.517
Cagayan,Buguey,18.283,121.833
Cagayan,Calayan,19.267,121.483
Cagayan,Camalaniugan,18.27444,121.67361
Cagayan,Claveria,18.6075,121.085
Cagayan,Enrile,17.55,121.7
Cagayan,Gattaran,18.067,121.65
Cagayan,Gonzaga,18.267,122.0
Cagayan,Iguig,17.75,121.733
Cagayan,Lal-lo,18.2,121.667
Cagayan,Lasam,18.067,121.6
Cagayan,Pamplona,18.45,121.34167
Cagayan,Peñablanca,17.633,121.783
Cagayan,Piat,17.79111,121.47611
Cagayan,Rizal,17.85,121.35
Cagayan,Sanchez-Mira,18.567,121.233
Cagayan,Santa Ana,18.467,122.15
Cagayan,Santa Praxedes,18.567,121.0
Cagayan,Santa Teresita,18.25,121.883
Cagayan,Santo Niño,17.883,121.567
Cagayan,Solana,17.655,121.68889
Cagayan,Tuao,17.733,121.45
Camarines Norte,Basud,14.067,122.967
Camarines Norte,Capalonga,14.333,122.5
Camarines Norte,Daet,14.117,122.95
Camarines Norte,Jose Panganiban,14.3,122.7
Camarines Norte,Labo,14.017,122.35
Camarines Norte,Mercedes,14.1,123.017
Camarines Norte,Paracale,14.283,122.783
Camarines Norte,San Lorenzo Ruiz,14.117,122.867
Camarines Norte,San Vicente,14.1,122.867
Camarines Norte,Santa Elena,14.2,122.383
Camarines Norte,Talisay,14.133,122.917
Camarines Norte,Vinzons,14.183,122.9
Camarines Sur,Iriga City,13.417,123.417
Camarines Sur,Naga City,13.62,123.17
Camarines Sur,Baao,13.45611,123.36389
Camarines Sur,Balatan,13.317,123.233
Camarines Sur,Bato,13.35611,123.36389
Camarines Sur,Bombon,13.683,123.2
Camarines Sur,Buhi,13.433,123.517
Camarines Sur,Bula,13.467,123.283
Camarines Sur,Cabusao,13.717,123.1
Camarines Sur,Calabanga,13.717,123.233
Camarines Sur,Camaligan,13.625,123.15694
Camarines Sur,Canaman,13.65,123.167
Camarines Sur,Caramoan,13.767,123.867
Camarines Sur,Del Gallego,13.917,122.6
Camarines Sur,Gainza,13.617,123.15
Camarines Sur,Garchitorena,13.883,123.7
Camarines Sur,Goa,13.7,123.5
Camarines Sur,Lagonoy,13.73861,123.52056
Camarines Sur,Libmanan,13.7,123.067
Camarines Sur,Lupi,13.817,122.9
Camarines Sur,Magarao,13.667,123.183
Camarines Sur,Milaor,13.6,123.183
Camarines Sur,Minalabac,13.567,123.183
Camarines Sur,Nabua,13.40139,123.37639
Camarines Sur,Ocampo,13.567,123.383
Camarines Sur,Pamplona,13.6,123.083
Camarines Sur,Pasacao,13.517,123.05
Camarines Sur,Pili,13.583,123.3
Camarines Sur,Presentacion,13.717,123.75
Camarines Sur,Ragay,13.817,122.783
Camarines Sur,Sagñay,13.60417,123.52
Camarines Sur,San Fernando,13.567,123.15
Camarines Sur,San Jose,13.717,123.517
Camarines Sur,Sipocot,13.767,122.983
Camarines Sur,Siruma,14.0,123.25
Camarines Sur,Tigaon,13.633,123.5
Camarines Sur,Tinambac,13.817,123.333
Camiguin,Catarman,9.133,124.683
Camiguin,Guinsiliban,9.1,124.783
Camiguin,Mahinog,9.15,124.783
Camiguin,Mambajao,9.25,124.717
Camiguin,Sagay,9.117,124.717
Capiz,Roxas City,11.583,122.75
Capiz,Cuartero,11.35,122.667
Capiz,Dao,11.4,122.683
Capiz,Dumalag,11.3,122.617
Capiz,Dumarao,11.267,122.683
Capiz,Ivisan,11.517,122.683
Capiz,Jamindan,11.4,122.5
Capiz,Ma-ayon,11.383,122.783
Capiz,Mambusao,11.433,122.6
Capiz,Panay,11.55,122.8
Capiz,Panitan,11.467,122.767
Capiz,Pilar,11.483,123.0
Capiz,Pontevedra,11.483,122.833
Capiz,President Roxas,11.433,122.933
Capiz,Sapi-an,11.5,122.6
Capiz,Sigma,11.417,122.667
Capiz,Tapaz,11.267,122.533
Catanduanes,Bagamanoc,13.933,124.283
Catanduanes,Baras,13.667,124.367
Catanduanes,Bato,13.6,124.3
Catanduanes,Caramoran,13.983,124.133
Catanduanes,Gigmoto,13.783,124.383
Catanduanes,Pandan,14.05,124.167
Catanduanes,Panganiban,13.9,124.3
Catanduanes,San Andres,13.6,124.1
Catanduanes,San Miguel,13.633,124.3
Catanduanes,Viga,13.867,124.3
Catanduanes,Virac,13.583,124.233
Cavite,Cavite City,14.483,120.9
Cavite,Dasmariñas City,14.32639,120.93611
Cavite,Tagaytay City,14.1,120.933
Cavite,Trece Martires City,14.283,120.85
Cavite,Alfonso,14.14083,120.85389
Cavite,Amadeo,14.167,120.917
Cavite,Bacoor,14.45,120.95
Cavite,Carmona,14.317,121.05
Cavite,General Mariano Alvarez,14.3,121.0
Cavite,General Emilio Aguinaldo,14.183,120.8
Cavite,General Trias,14.383,120.883
Cavite,Imus,14.4,120.933
Cavite,Indang,14.19528,120.87694
Cavite,Kawit,14.433,120.9
Cavite,Magallanes,14.18833,120.7575
Cavite,Maragondon,14.27333,120.73833
Cavite,Mendez,14.12861,120.90583
Cavite,Naic,14.317,120.767
Cavite,Noveleta,14.433,120.883
Cavite,Rosario,14.417,120.85
Cavite,Silang,14.233,120.983
Cavite,Tanza,14.4,120.833
Cavite,Ternate,14.283,120.717
Cebu,Bogo City,11.03,124.0
Cebu,Cebu City,10.32,123.75
Cebu,Carcar City,10.1,123.63
Cebu,Danao City,10.52,124.03
Cebu,Lapu-Lapu City,10.31083,124.015222
Cebu,Mandaue City,10.33,123.93
Cebu,Naga City,10.22,123.75
Cebu,Talisay City,10.25,123.83
Cebu,Toledo City,10.38,123.65
Cebu,Alcantara,9.98,123.4
Cebu,Alcoy,9.68,123.5
Cebu,Alegria,9.77,123.38
Cebu,Aloguinsan,10.22,123.55
Cebu,Argao,9.88,123.6
Cebu,Asturias,10.57,123.72
Cebu,Badian,9.87,123.4
Cebu,Balamban,10.5,123.72
Cebu,Bantayan,11.17,123.72
Cebu,Barili,10.12,123.52
Cebu,Boljoon,9.63,123.48
Cebu,Borbon,10.83,124.03
Cebu,Carmen,10.58,124.02
Cebu,Catmon,10.72,124.0
Cebu,Compostela,10.45,124.0
Cebu,Consolacion,10.5,123.95
Cebu,Cordoba,10.25,123.95
Cebu,Daanbantayan,11.25,124.0
Cebu,Dalaguete,9.77,123.53
Cebu,Dumanjug,10.05,123.43
Cebu,Ginatilan,9.6,123.35
Cebu,Liloan,10.4,123.98
Cebu,Madridejos,11.27,123.73
Cebu,Malabuyoc,9.65,123.33
Cebu,Medellin,11.13,123.97
Cebu,Minglanilla,10.25,123.78
Cebu,Moalboal,9.95,123.4
Cebu,Oslob,9.55,123.4
Cebu,Pilar,10.8,124.55
Cebu,Pinamungahan,10.27,123.58
Cebu,Poro,10.63,124.42
Cebu,Ronda,10.0,123.4
Cebu,Samboan,9.53,123.3
Cebu,San Fernando,10.17,123.7
Cebu,San Francisco,10.65,124.35
Cebu,San Remigio,11.05,123.98
Cebu,Santa Fe,11.15,123.82
Cebu,Santander,9.45,123.33
Cebu,Sibonga,10.03,123.57
Cebu,Sogod,10.75,124.0
Cebu,Tabogon,10.93,124.03
Cebu,Tabuelan,10.82,123.87
Cebu,Tuburan,10.73,123.83
Cebu,Tudela,10.63,124.47
Compostela Valley,Compostela,7.667,126.083
Compostela Valley,Laak,7.833,125.817
Compostela Valley,Mabini,7.3,125.85
Compostela Valley,Maco,7.367,125.85
Compostela Valley,Maragusan,7.5,126.0
Compostela Valley,Mawab,7.5,125.933
Compostela Valley,Monkayo,7.817,126.05
Compostela Valley,Montevista,7.7,125.983
Compostela Valley,Nabunturan,7.6,125.967
Compostela Valley,New Bataan,7.533,126.133
Compostela Valley,Pantukan,7.15,125.95
Cotabato,Kidapawan City,7.017,125.083
Cotabato,Alamada,7.333,124.567
Cotabato,Aleosan,7.15,124.583
Cotabato,Antipas,7.25,125.05
Cotabato,Arakan,7.35,125.133
Cotabato,Banisilan,7.5,124.7
Cotabato,Carmen,7.2,124.783
Cotabato,Kabacan,7.117,124.817
Cotabato,Libungan,7.25,124.517
Cotabato,Mlang,,
Cotabato,Magpet,7.1,125.117
Cotabato,Makilala,6.967,125.083
Cotabato,Matalam,7.083,124.9
Cotabato,Midsayap,7.1917,124.533
Cotabato,Pigkawayan,7.283,124.433
Cotabato,Pikit,7.05,124.667
Cotabato,President Roxas,7.15,125.05
Cotabato,Tulunan,6.833,124.883
Davao del Norte,Panabo City,7.30833,125.68333
Davao del Norte,Island Garden City of Samal,,
Davao del Norte,Tagum City,7.45,125.8
Davao del Norte,Asuncion,7.583,125.767
Davao del Norte,Braulio E. Dujali,7.45,125.683
Davao del Norte,Carmen,7.36056,125.70639
Davao del Norte,Kapalong,7.75,125.5
Davao del Norte,New Corella,7.583,125.833
Davao del Norte,San Isidro,7.75,125.733
Davao del Norte,Santo Tomas,7.533,125.617
Davao del Norte,Talaingod,7.617,125.617
Davao del Sur,Davao City,,
Davao del Sur,Digos City,6.75,125.35
Davao del Sur,Bansalan,6.783,125.217
Davao del Sur,Don Marcelino,6.267,125.667
Davao del Sur,Hagonoy,6.683,125.3
Davao del Sur,Jose Abad Santos,5.917,125.65
Davao del Sur,Kiblawan,6.617,125.217
Davao del Sur,Magsaysay,6.767,125.183
Davao del Sur,Malalag,6.6,125.4
Davao del Sur,Malita,6.4,125.6
Davao del Sur,Matanao,6.75,125.233
Davao del Sur,Padada,6.633,125.35
Davao del Sur,Santa Cruz,6.833,125.417
Davao del Sur,Santa Maria,6.55,125.467
Davao del Sur,Sarangani,5.4,125.467
Davao del Sur,Sulop,6.6,125.35
Davao Oriental,Mati City,6.95,126.233
Davao Oriental,Baganga,7.567,126.567
Davao Oriental,Banaybanay,7.1,126.067
Davao Oriental,Boston,7.867,126.367
Davao Oriental,Caraga,7.333,126.567
Davao Oriental,Cateel,7.783,126.45
Davao Oriental,Governor Generoso,6.65,126.067
Davao Oriental,Lupon,6.9,126.0
Davao Oriental,Manay,7.217,126.533
Davao Oriental,San Isidro,6.833,126.083
Davao Oriental,Tarragona,7.05,126.45
Eastern Samar,Arteche,12.267,125.367
Eastern Samar,Balangiga,11.117,125.383
Eastern Samar,Balangkayan,11.467,125.5
Eastern Samar,Borongan,11.6,125.43
Eastern Samar,Can-avid,12.0,125.45
Eastern Samar,Dolores,12.05,125.483
Eastern Samar,General MacArthur,11.25,125.533
Eastern Samar,Giporlos,11.117,125.45
Eastern Samar,Guiuan,11.033,125.733
Eastern Samar,Hernani,11.333,125.583
Eastern Samar,Jipapad,12.283,125.233
Eastern Samar,Lawaan,11.15,125.3
Eastern Samar,Llorente,11.417,125.533
Eastern Samar,Maslog,12.1,125.167
Eastern Samar,Maydolong,11.5,125.5
Eastern Samar,Mercedes,11.1,125.717
Eastern Samar,Oras,12.133,125.433
Eastern Samar,Quinapondan,11.15,125.517
Eastern Samar,Salcedo,11.15,125.667
Eastern Samar,San Julian,11.75,125.45
Eastern Samar,San Policarpo,12.183,125.5
Eastern Samar,Sulat,11.817,125.45
Eastern Samar,Taft,11.9,125.417
Guimaras,Buenavista,10.7,122.63
Guimaras,Jordan,10.6,122.6
